scenario,n,p,method,time_mean,time_std,time_median,time_q05,time_q95,n_reps,skipped,fallback,mean,std,median,q05,q95
A,1000,100,xi_n,0.0004082195666645324,0.0004903161952626506,0.0003109555000264663,0.0002945445000932523,0.00041611745011778075,30,False,False,,,,,
A,1000,100,mi,0.009144520499982415,0.003322220091432238,0.007887853499823905,0.007314711049957623,0.01750457580001238,30,False,False,,,,,
A,1000,100,dc,0.0016683155666820917,0.0004747093157996524,0.0015130355000110285,0.0014744392998181865,0.0028002680498502735,30,False,False,,,,,
A,1000,100,mic,3.177754437000037,0.2574070197931116,3.2443084500000623,2.7684441488501306,3.605277493849917,30,False,False,,,,,
A,1000,100,pearson,0.00029461076668061044,9.75260892722322e-05,0.0002637219999996887,0.00023773265006639123,0.00047894859997086236,30,False,False,,,,,
A,1000,100,spearman,0.001339062799979729,0.0003017036617212959,0.001276529000051596,0.0011835984500976338,0.001440797900045254,30,False,False,,,,,
A,5000,100,xi_n,0.0011213956000271233,0.0008747530168114469,0.0008165250001184177,0.0007605938499636977,0.0029220553002232918,30,False,False,,,,,
A,5000,100,mi,0.040774363399956805,0.014066215604091646,0.03663311950003845,0.03460988094996083,0.04734492645013688,30,False,False,,,,,
A,5000,100,dc,0.008405160666688971,0.002495961482975088,0.007732543500196698,0.007644994750057777,0.013195156650067447,30,False,False,,,,,
A,5000,100,mic,16.572199801133365,1.9467536291845775,16.041500167499862,15.306667142199695,20.714012920699936,30,False,False,,,,,
A,5000,100,pearson,0.000319640999987314,0.00022663181081896872,0.000276767000059408,0.00025766554988422287,0.00030519154990997776,30,False,False,,,,,
A,5000,100,spearman,0.0019500884000535734,0.000415914667164262,0.0018486470000880217,0.0018011342002409946,0.0021214837000115947,30,False,False,,,,,
A,10000,100,xi_n,0.001481902666713116,7.831218945926369e-05,0.0014526875002047746,0.0013979135498402683,0.0016103380500453568,30,False,False,,,,,
A,10000,100,mi,0.08173789153330896,0.017216551442118175,0.0746129579999888,0.07219506374988213,0.11635007114991817,30,False,False,,,,,
A,10000,100,dc,0.0178240287667298,0.003689509771711906,0.01679492600010235,0.016173839249972843,0.025135691449918316,30,False,False,,,,,
A,10000,100,mic,32.40965877286658,11.916436138716433,27.10757002149967,26.82722524940009,53.15163126884995,30,False,False,,,,,
A,10000,100,pearson,0.0002478361667272111,1.868160116159424e-05,0.00024473199982821825,0.0002289860500695795,0.00028494945031525275,30,False,False,,,,,
A,10000,100,spearman,0.00267900236664597,0.00014541637369417073,0.0026280469996891043,0.00258761715053879,0.0030759212498196573,30,False,False,,,,,
A,30000,100,xi_n,0.0025291232666556124,0.00041951869033531253,0.0023989245000848314,0.002368032399817821,0.0035058509501141068,30,False,False,,,,,
A,30000,100,mi,0.1528362507332531,0.02769237160892023,0.14138899749968914,0.139276692249814,0.1920774521000567,30,False,False,,,,,
A,30000,100,dc,,,,,,0,True,,,,,,
A,30000,100,mic,329.0758956066692,23.895255224091443,338.16781179999816,299.2160160550105,351.09794822000697,30,False,False,,,,,
A,30000,100,pearson,0.0014303900010418148,0.0035277983489133942,0.0005386499979067594,0.00041405000956729054,0.00490595500014022,30,False,False,,,,,
A,30000,100,spearman,0.010832356669319173,0.0014768420319414347,0.010889400000451133,0.008583874999021645,0.01302395999955479,30,False,False,,,,,
A,50000,100,xi_n,0.013641460001235828,0.001925985065251828,0.013058149997959845,0.01183469997922657,0.015822730014042462,30,False,False,,,,,
